Appeal,total_amount,donors,donation_count,avg_amount_per_donation,avg_amount_per_donor
2015AG,5700.1900000000005,10,13,438.47615384615386,570.019
2013END,5675.0,4,4,1418.75,1418.75
2012VAL,5450.0,28,28,194.64285714285714,194.64285714285714
2008VALE,5450.0,35,35,155.71428571428572,155.71428571428572
2010VAL,5350.0,42,42,127.38095238095238,127.38095238095238
2011VAL,5350.0,31,31,172.58064516129033,172.58064516129033
2000VALE,5335.0,42,45,118.55555555555556,127.02380952380952
2009END,5300.0,2,2,2650.0,2650.0
2003END,5245.0,36,37,141.75675675675674,145.69444444444446
2012END,5200.0,2,2,2600.0,2600.0
2001VALE,5000.0,48,48,104.16666666666667,104.16666666666667
1996BIL,4900.0,9,27,181.4814814814815,544.4444444444445
2007VALE,4710.0,49,49,96.12244897959184,96.12244897959184
2005END,4490.0,40,41,109.51219512195122,112.25
2001END,4435.4,50,50,88.708,88.708
2002VALE,3859.0,34,35,110.25714285714285,113.5
2002END,3725.0,31,32,116.40625,120.16129032258064
2005VALE,2870.0,34,34,84.41176470588235,84.41176470588235
2010BLDJS,2800.0,12,13,215.3846153846154,233.33333333333334
2011BLDJS,2400.0,3,3,800.0,800.0
2000END,2184.18,26,26,84.00692307692307,84.00692307692307
2008END,2150.14,8,8,268.7675,268.7675
2014ORGAN,2120.0,8,8,265.0,265.0
2014PE&W,2050.0,6,6,341.6666666666667,341.6666666666667
ENDOWPLEDG,1385.81,2,10,138.581,692.905
2012PE&W,1075.0,10,10,107.5,107.5
2025COTTON,603.5,3,4,150.875,201.16666666666666
1991FIN,500.0,1,1,500.0,500.0
INMEM-RFB,360.0,8,8,45.0,45.0
1999BLD,250.0,1,1,250.0,250.0
2007END,150.0,3,3,50.0,50.0
2010END,100.0,1,1,100.0,100.0
