field,importance
AvgAmount,0.20808693586360674
Recency,0.16643243071747757
Monetary,0.1659213496363756
OccupDesc,0.1625243555486007
LastAmount,0.15385473295191052
Frequency,0.06756042888206998
PastStudent,0.022878333062919275
State,0.016455579472541157
ReligionCode,0.014191010689733725
PastParent,0.011771083140059686
Gender,0.0061875878265367935
CurrentParent,0.004132029658895918
Education,4.1425492723867135e-06
