ID,Recency,Frequency,Monetary,AvgAmount,LastAmount,LastGiftDate,FirstGiftDate,Gifts12,Amt12,GiftsPrev12,AmtPrev12
57959,327,4,1158.8,289.7,508.8,2024-09-19,2021-06-17,1.0,508.8,1.0,250.0
15143,53,27,7520.0,278.51851851851853,500.0,2025-06-20,2000-03-03,1.0,500.0,1.0,500.0
75627,48,14,3450.0,246.42857142857142,500.0,2025-06-25,2020-02-28,1.0,500.0,0.0,0.0
57667,53,51,13500.0,264.70588235294116,500.0,2025-06-20,2010-07-09,2.0,1100.0,4.0,1100.0
16303,48,4,1250.0,312.5,500.0,2025-06-25,2002-10-15,1.0,500.0,0.0,0.0
22025,292,13,2450.0,188.46153846153845,500.0,2024-10-24,2000-06-16,1.0,500.0,0.0,0.0
57717,53,8,1800.0,225.0,500.0,2025-06-20,2014-06-27,1.0,500.0,1.0,200.0
18958,50,5,1500.0,300.0,500.0,2025-06-23,2021-06-17,2.0,750.0,0.0,0.0
19153,279,17,2350.0,138.23529411764707,500.0,2024-11-06,2000-07-31,1.0,500.0,0.0,0.0
20447,43,5,750.0,150.0,500.0,2025-06-30,2004-06-21,1.0,500.0,0.0,0.0
33937,52,10,1955.0,195.5,500.0,2025-06-21,2016-06-14,1.0,500.0,1.0,250.0
30853,47,7,1604.0,229.14285714285714,404.0,2025-06-26,2020-08-09,2.0,604.0,0.0,0.0
15471,285,5,1050.0,210.0,350.0,2024-10-31,2000-04-10,1.0,350.0,0.0,0.0
21524,63,3,450.0,150.0,300.0,2025-06-10,2002-12-03,1.0,300.0,0.0,0.0
41992,49,11,1750.0,159.0909090909091,250.0,2025-06-24,2010-06-22,1.0,250.0,0.0,0.0
12757,43,27,3635.0,134.62962962962962,250.0,2025-06-30,2000-06-22,2.0,500.0,2.0,350.0
20807,53,26,4210.0,161.92307692307693,250.0,2025-06-20,2000-06-22,1.0,250.0,1.0,250.0
19095,56,7,900.0,128.57142857142858,250.0,2025-06-17,2000-06-22,1.0,250.0,0.0,0.0
21566,43,13,2163.0,166.3846153846154,250.0,2025-06-30,2012-06-29,1.0,250.0,1.0,150.0
41623,49,25,3435.0,137.4,250.0,2025-06-24,2001-06-19,1.0,250.0,0.0,0.0
67400,47,3,322.0,107.33333333333333,202.0,2025-06-26,2021-06-24,1.0,202.0,0.0,0.0
13951,43,23,2843.0,123.6086956521739,200.0,2025-06-30,2003-11-12,1.0,200.0,1.0,100.0
16247,50,2,250.0,125.0,200.0,2025-06-23,2005-06-29,1.0,200.0,0.0,0.0
16373,55,14,1780.0,127.14285714285714,200.0,2025-06-18,2004-06-30,1.0,200.0,1.0,100.0
23925,43,7,825.0,117.85714285714286,200.0,2025-06-30,2000-06-26,1.0,200.0,1.0,500.0
25520,87,2,250.0,125.0,200.0,2025-05-17,2003-07-10,1.0,200.0,0.0,0.0
