Gender,total_amount,donors,donation_count,avg_amount_per_donation,avg_amount_per_donor
M,17303710.43,3420,16890,1024.4944008288928,5059.564453216374
Missing,2654483.8899999997,50,140,18960.59921428571,53089.67779999999
F,1417878.29,774,1953,726.0001484895033,1831.8840956072352
