model,auc,precision,recall,f1,support
LightGBM,0.9377475040202417,0.9815375294248502,0.9400613466083371,0.9573306910939445,19887
RandomForest,0.923342391063013,0.9842212375888119,0.9860210187559713,0.9848650736394486,19887
LogisticRegression,0.906402864500631,0.979596381886516,0.8924422989892895,0.9296655568160691,19887
