ID,Recency,Frequency,Monetary,AvgAmount,LastAmount,LastGiftDate,FirstGiftDate,Gifts12,Amt12,GiftsPrev12,AmtPrev12
48403,2248,1,505.0,505.0,505.0,2019-06-17,2019-06-17,0.0,0.0,0.0,0.0
17184,368,1,500.0,500.0,500.0,2024-08-09,2024-08-09,0.0,0.0,1.0,500.0
30881,376,1,500.0,500.0,500.0,2024-08-01,2024-08-01,0.0,0.0,1.0,500.0
26723,398,1,500.0,500.0,500.0,2024-07-10,2024-07-10,0.0,0.0,1.0,500.0
32111,419,1,500.0,500.0,500.0,2024-06-19,2024-06-19,0.0,0.0,1.0,500.0
58347,775,1,500.0,500.0,500.0,2023-06-29,2023-06-29,0.0,0.0,0.0,0.0
59742,775,1,500.0,500.0,500.0,2023-06-29,2023-06-29,0.0,0.0,0.0,0.0
68542,775,1,500.0,500.0,500.0,2023-06-29,2023-06-29,0.0,0.0,0.0,0.0
65940,780,1,500.0,500.0,500.0,2023-06-24,2023-06-24,0.0,0.0,0.0,0.0
57333,784,1,500.0,500.0,500.0,2023-06-20,2023-06-20,0.0,0.0,0.0,0.0
62497,795,1,500.0,500.0,500.0,2023-06-09,2023-06-09,0.0,0.0,0.0,0.0
81096,798,1,500.0,500.0,500.0,2023-06-06,2023-06-06,0.0,0.0,0.0,0.0
74591,803,1,500.0,500.0,500.0,2023-06-01,2023-06-01,0.0,0.0,0.0,0.0
15336,897,1,500.0,500.0,500.0,2023-02-27,2023-02-27,0.0,0.0,0.0,0.0
62490,994,1,500.0,500.0,500.0,2022-11-22,2022-11-22,0.0,0.0,0.0,0.0
77326,994,1,500.0,500.0,500.0,2022-11-22,2022-11-22,0.0,0.0,0.0,0.0
79065,994,1,500.0,500.0,500.0,2022-11-22,2022-11-22,0.0,0.0,0.0,0.0
17424,995,1,500.0,500.0,500.0,2022-11-21,2022-11-21,0.0,0.0,0.0,0.0
19466,999,3,500.0,166.66666666666666,200.0,2022-11-17,2017-04-03,0.0,0.0,0.0,0.0
69287,1000,1,500.0,500.0,500.0,2022-11-16,2022-11-16,0.0,0.0,0.0,0.0
63125,1510,3,500.0,166.66666666666666,100.0,2021-06-24,2013-03-13,0.0,0.0,0.0,0.0
17610,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
19024,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
21997,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
23109,1517,2,500.0,250.0,300.0,2021-06-17,2018-08-30,0.0,0.0,0.0,0.0
31069,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
40897,1517,3,500.0,166.66666666666666,100.0,2021-06-17,2016-10-18,0.0,0.0,0.0,0.0
42471,1517,4,500.0,125.0,250.0,2021-06-17,2005-06-22,0.0,0.0,0.0,0.0
