ID,Recency,Frequency,Monetary,AvgAmount,LastAmount,LastGiftDate,FirstGiftDate,Gifts12,Amt12,GiftsPrev12,AmtPrev12
17285,2604,15,28000.0,1866.6666666666667,400.0,2018-06-26,2001-08-07,0.0,0.0,0.0,0.0
16122,1163,19,27800.0,1463.157894736842,500.0,2022-06-06,2005-06-29,0.0,0.0,0.0,0.0
61721,2966,17,27400.0,1611.764705882353,5000.0,2017-06-29,2012-06-29,0.0,0.0,0.0,0.0
14200,7782,8,27400.0,3425.0,10000.0,2004-04-22,2000-01-31,0.0,0.0,0.0,0.0
13269,6619,10,26850.0,2685.0,2000.0,2007-06-29,2000-01-17,0.0,0.0,0.0,0.0
13802,2247,28,26650.0,951.7857142857143,450.0,2019-06-18,2000-11-20,0.0,0.0,0.0,0.0
19585,4733,7,26500.0,3785.714285714286,500.0,2012-08-27,2001-06-15,0.0,0.0,0.0,0.0
15004,4052,9,26416.38,2935.1533333333336,25216.38,2014-07-09,2002-12-31,0.0,0.0,0.0,0.0
12426,777,7,26300.0,3757.1428571428573,5000.0,2023-06-27,2000-11-10,0.0,0.0,0.0,0.0
15383,1873,3,26000.0,8666.666666666666,1000.0,2020-06-26,2000-12-11,0.0,0.0,0.0,0.0
48288,433,2,25000.0,12500.0,10000.0,2024-06-05,2021-10-23,0.0,0.0,1.0,10000.0
75779,2140,1,25000.0,25000.0,25000.0,2019-10-03,2019-10-03,0.0,0.0,0.0,0.0
18519,3696,17,24850.0,1461.764705882353,1000.0,2015-06-30,2000-06-29,0.0,0.0,0.0,0.0
19054,376,22,22450.0,1020.4545454545455,500.0,2024-08-01,2006-11-29,0.0,0.0,1.0,500.0
13071,3704,7,20920.0,2988.5714285714284,320.0,2015-06-22,2000-06-22,0.0,0.0,0.0,0.0
71572,414,4,20000.0,5000.0,5000.0,2024-06-24,2020-05-04,0.0,0.0,1.0,5000.0
24419,1516,2,20000.0,10000.0,10000.0,2021-06-18,2021-06-17,0.0,0.0,0.0,0.0
67492,4209,1,20000.0,20000.0,20000.0,2014-02-02,2014-02-02,0.0,0.0,0.0,0.0
20108,7139,1,20000.0,20000.0,20000.0,2006-01-25,2006-01-25,0.0,0.0,0.0,0.0
62979,2014,23,19050.0,828.2608695652174,200.0,2020-02-06,2012-11-27,0.0,0.0,0.0,0.0
16443,412,14,19000.0,1357.142857142857,250.0,2024-06-26,2000-06-29,0.0,0.0,1.0,250.0
20024,1168,6,18950.0,3158.3333333333335,7500.0,2022-06-01,2005-05-30,0.0,0.0,0.0,0.0
