Fund,total_amount,donors,donation_count,avg_amount_per_donation,avg_amount_per_donor
BF,9462128.35,2946,11939,792.5394379763799,3211.8561948404617
SF,7184296.72,1335,3257,2205.801879029782,5381.495670411985
EN,3003660.73,344,538,5583.0125092936805,8731.571889534884
Missing,861295.22,33,37,23278.249189189188,26099.855151515152
LI,576152.61,1232,2575,223.748586407767,467.6563392857143
MF,267819.98,157,427,627.2130679156908,1705.8597452229299
BS,20719.0,210,210,98.66190476190476,98.66190476190476
