field,importance
Recency,0.4669085375396685
OccupDesc,0.19708689449667746
Monetary,0.09032635801559352
Frequency,0.07601657228835451
AvgAmount,0.06221490315310443
LastAmount,0.041780012829773866
ReligionCode,0.016879203633492476
State,0.01608402176973676
PastStudent,0.01461500073252988
PastParent,0.007371771747842574
Gender,0.005420110107453952
CurrentParent,0.005240657958704232
Education,5.595572706796668e-05
