field,importance
OccupDesc,4218
Recency,1260
Monetary,892
AvgAmount,839
LastAmount,490
Frequency,446
ReligionCode,224
State,219
PastStudent,155
PastParent,146
Gender,85
CurrentParent,26
Education,0
