model,auc,precision,recall,f1,support
LightGBM,0.9206827996121771,0.9308570802259486,0.8639312113440941,0.8867404378043029,19887
RandomForest,0.9155290900817709,0.9298494976698476,0.9304570825162166,0.9301483216806884,19887
LogisticRegression,0.9108974772675666,0.9311804709655229,0.7981093176446926,0.8407207506522414,19887
