ID,Recency,Frequency,Monetary,RFM_Segment
52053,1296,6,5470.0,Champion
13654,1517,12,5450.0,Champion
36035,3969,9,5400.0,Regular
16150,2244,16,5360.0,Champion
15574,4290,24,5350.0,Regular
17122,988,5,5305.0,Champion
14685,5754,7,5300.0,Regular
50129,1462,26,5300.0,Champion
18582,1161,19,5300.0,Champion
43967,1698,19,5296.26,Champion
12015,8667,3,5250.0,Regular
23938,1512,4,5250.0,Champion
16420,1519,22,5150.0,Champion
19939,1450,20,5129.19,Champion
14480,4432,2,5100.0,Regular
16888,994,19,5050.0,Champion
13064,5130,1,5000.0,Regular
15226,2276,18,5000.0,Champion
42000,4369,1,5000.0,Regular
62907,802,1,5000.0,High Potential
17004,4261,1,5000.0,Regular
21072,790,8,5000.0,Champion
20125,5460,1,5000.0,Regular
19750,1198,21,5000.0,Champion
12918,5158,1,5000.0,Regular
76169,2031,1,5000.0,High Potential
78251,897,1,5000.0,High Potential
43556,1219,1,5000.0,High Potential
60899,977,18,5000.0,Champion
15048,966,8,5000.0,Champion
19236,1068,1,5000.0,High Potential
17342,4908,1,5000.0,Regular
63418,2335,1,5000.0,High Potential
14876,7641,3,5000.0,Regular
63570,1517,16,5000.0,Champion
64133,1517,1,5000.0,High Potential
24364,2329,2,5000.0,High Potential
33549,3595,1,5000.0,Regular
18533,788,1,5000.0,High Potential
30191,2101,2,5000.0,High Potential
13892,1517,1,5000.0,High Potential
23712,2604,1,5000.0,Regular
75739,1517,1,5000.0,High Potential
74092,2603,1,5000.0,Regular
13214,6619,1,5000.0,Regular
62980,2447,1,5000.0,Regular
64399,4684,1,5000.0,Regular
25062,782,32,4912.0,Champion
13446,6592,10,4900.0,Regular
15093,1873,12,4900.0,Champion
17467,1523,8,4850.0,Champion
63836,1289,22,4800.0,Champion
16291,2563,23,4800.0,Regular
43146,1286,24,4800.0,Champion
16173,789,25,4775.0,Champion
18139,785,26,4750.0,Champion
14701,7553,3,4700.0,Regular
